region,district,ward,distance
Dar es Salaam,Ilala,Bonyokwa,12.99
Dar es Salaam,Ilala,Buguruni,3.57
Dar es Salaam,Ilala,Buyuni,3.01
Dar es Salaam,Ilala,Chanika,28.1
Dar es Salaam,Ilala,Gongo La Mboto,13.7
Dar es Salaam,Ilala,Ilala,2.02
Dar es Salaam,Ilala,Kimanga,8.07
Dar es Salaam,Ilala,Kinyerezi,14.24
Dar es Salaam,Ilala,Kipawa,8.53
Dar es Salaam,Ilala,Kipunguni,12
Dar es Salaam,Ilala,Kisukulu,9.5
Dar es Salaam,Ilala,Kitunda,10.87
Dar es Salaam,Ilala,Kivule,14.57
Dar es Salaam,Ilala,Kiwalani,5.21
Dar es Salaam,Ilala,Liwiti,7.19
Dar es Salaam,Ilala,Majohe,17
Dar es Salaam,Ilala,Minazi Mirefu,10
Dar es Salaam,Ilala,Mnyamani,4.16
Dar es Salaam,Ilala,Msongola,18
Dar es Salaam,Ilala,Mzinga,10.68
Dar es Salaam,Ilala,Pugu,19.05
Dar es Salaam,Ilala,Pugu Station,17.11
Dar es Salaam,Ilala,Segerea,9.49
Dar es Salaam,Ilala,Tabata,5.69
Dar es Salaam,Ilala,Ukonga,12.3
Dar es Salaam,Ilala,Vingunguti,5.4
Dar es Salaam,Ilala,Zingiziwa,30.75
Dar es Salaam,Ilala Cbd,Gerezani,1.86
Dar es Salaam,Ilala Cbd,Jangwani,2.95
Dar es Salaam,Ilala Cbd,Kariakoo,2.45
Dar es Salaam,Ilala Cbd,Kisutu,3.12
Dar es Salaam,Ilala Cbd,Kivukoni,4.16
Dar es Salaam,Ilala Cbd,Mchafukoge,2.31
Dar es Salaam,Ilala Cbd,Mchikichini,2.38
Dar es Salaam,Ilala Cbd,Upanga Magharibi,4.32
Dar es Salaam,Ilala Cbd,Upanga Mashariki,4.04
Dar es Salaam,Kigamboni,Kibada,4.94
Dar es Salaam,Kigamboni,Kigamboni,3.9
Dar es Salaam,Kigamboni,Kimbiji,31.3
Dar es Salaam,Kigamboni,Kisarawe Ii,20.93
Dar es Salaam,Kigamboni,Mjimwema,7.3
Dar es Salaam,Kigamboni,Pembamnazi,15
Dar es Salaam,Kigamboni,Somangila,20.91
Dar es Salaam,Kigamboni,Tungi,5.77
Dar es Salaam,Kigamboni,Vijibweni,5.4
Dar es Salaam,Kinondoni,Bunju,33.34
Dar es Salaam,Kinondoni,Hananasif,5.05
Dar es Salaam,Kinondoni,Kawe,18.73
Dar es Salaam,Kinondoni,Kigogo,4.2
Dar es Salaam,Kinondoni,Kijitonyama,8.1
Dar es Salaam,Kinondoni,Kinondoni,6.49
Dar es Salaam,Kinondoni,Kunduchi,20.26
Dar es Salaam,Kinondoni,Mabwepande,29.76
Dar es Salaam,Kinondoni,Magomeni,4.62
Dar es Salaam,Kinondoni,Makongo,12.41
Dar es Salaam,Kinondoni,Makumbusho,6.63
Dar es Salaam,Kinondoni,Mbezi Juu,15.33
Dar es Salaam,Kinondoni,Mbweni,33.48
Dar es Salaam,Kinondoni,Mikocheni,9.03
Dar es Salaam,Kinondoni,Msasani,8.32
Dar es Salaam,Kinondoni,Mwananyamala,6.23
Dar es Salaam,Kinondoni,Mzimuni,4.61
Dar es Salaam,Kinondoni,Ndugumbi,5.27
Dar es Salaam,Kinondoni,Tandale,6.49
Dar es Salaam,Kinondoni,Wazo,20.33
Dar es Salaam,Temeke,Azimio,3.32
Dar es Salaam,Temeke,Buza,7.22
Dar es Salaam,Temeke,Chamazi,15
Dar es Salaam,Temeke,Changâ€™Ombe,1.43
Dar es Salaam,Temeke,Charambe,15.15
Dar es Salaam,Temeke,Keko,0.52
Dar es Salaam,Temeke,Kibondemaji,6.91
Dar es Salaam,Temeke,Kiburugwa,8.6
Dar es Salaam,Temeke,Kijichi,5.13
Dar es Salaam,Temeke,Kilakala,5
Dar es Salaam,Temeke,Kilungule,8.7
Dar es Salaam,Temeke,Kurasini,1.24
Dar es Salaam,Temeke,Makangarawe,5.2
Dar es Salaam,Temeke,Mbagala,6.62
Dar es Salaam,Temeke,Mbagala Kuu,6.62
Dar es Salaam,Temeke,Mianzini,10.13
Dar es Salaam,Temeke,Miburani,1.19
Dar es Salaam,Temeke,Mtoni,2.87
Dar es Salaam,Temeke,Sandali,3.53
Dar es Salaam,Temeke,Tandika,3.38
Dar es Salaam,Temeke,Temeke,2.24
Dar es Salaam,Temeke,Toangoma,10.85
Dar es Salaam,Temeke,Yombo Vituka,6.3
Dar es Salaam,Ubungo,Goba,18.59
Dar es Salaam,Ubungo,Kibamba,26.79
Dar es Salaam,Ubungo,Kimara,12.36
Dar es Salaam,Ubungo,Kwembe,22.03
Dar es Salaam,Ubungo,Mabibo,6.54
Dar es Salaam,Ubungo,Makuburi,9.05
Dar es Salaam,Ubungo,Makurumla,5.52
Dar es Salaam,Ubungo,Manzese,7.1
Dar es Salaam,Ubungo,Mbezi,23.34
Dar es Salaam,Ubungo,Mburahati,5.5
Dar es Salaam,Ubungo,Msigani,17.87
Dar es Salaam,Ubungo,Saranga,14.7
Dar es Salaam,Ubungo,Sinza,8.88
Dar es Salaam,Ubungo,Ubungo,10.27
